SOURCE,Dish (Hebrew),Dish description,Dish (English),"Dish native name (Tunisia, Morocco, Israel)",Type (Main/Side/Dip/Soup/Snack),Served (Hot/Cold),Flavor (Sweet/Savory),Notes
Silver-Cohen-Trabelsi,מחמסה,"פתיתים, לפעמים מוסיפםים נקינקיות",Mhamsa,,ערב,,,
Silver-Cohen-Trabelsi,שמיד,מרק סולת עם בצל ופפריקה,Semolina Soup,,ערב,,,"סְמִידָאm. (cmp. סְמָדָר, a. σεμίδαλις) finest flour (in Targ. Y. corresp. to סֹלַת in Targ. O.). Targ. Y. Ex. 29:2; a. fr.Targ. Y. Gen. 18:6 ס׳ דסולתא (h. text קמח סלת).Gitt.56a (contrad. to חִיוָּרִיתָא a. גּוּשְׁקְרָא).Pes.74b בס׳ דמיפרך Ms. M. (ed. בסְמִידִי דמפריר; Ms. M. 2 בדסִימְדִי) in the case of a paste of the finest flour, which is brittle. Ib. דס׳ a paste of M. Kat. 28a לחמא דס׳ לכלביוכ׳ Ms. M. (ed. ס׳ only) bread of finest flour was given to the dogs and was not wanted (i. e. there was great affluence). Pes.42a sq. פת נקייה דס׳ ‘pure bread means bread of fine flour. Yalk. Koh. 989 אייתי צמידאוכ׳ bring me bread of fine flour and good wine ; a. fr.Denom. סְמִידִי, סִימְדִּי, v. supra."
Silver-Cohen-Trabelsi,קטעה,חתיכות בצק שנזרקות למרק רותח עם פפריקה ובצל,Ktaa,,ערב,,,
Silver-Cohen-Trabelsi,דביח תטמטם,תבשיל עגבניות ארוך עם רסק ועגבניות ותופחי אדמה והרבה בצל,Tomato Dish with Potatoes,,ליל שבת,,,
Silver-Cohen-Trabelsi,דביח חגים,תבשיל בישול ארוך עם הרבה ירק,Festive Meat,,ליל חג,,,"Passover, Rosh Hashanah"
Silver-Cohen-Trabelsi,שפינג׳ות,בצק מטוגן,Sfenj,,קינוח,,,
Silver-Cohen-Trabelsi,ברודו,"מרק די צח עם ירקות שורש פטרוזיליה, מלח ופלפל שחור בלבד",Brodo,,יום שישי,,,
Silver-Cohen-Trabelsi,מרמומה,טיגון פלפל חריף עגבניות ושום ובישול ארוך מאוד. מלח ופפריקה,Marmouma,,מטבל,,,
Silver-Cohen-Trabelsi,בונוטאז,,Bonotaz,,"שבת בבוקר, ראשונה",,,
Silver-Cohen-Trabelsi,קוסקוס,,Couscous,,עיקרית,,,
